CMPL_FAC_ID,SAND,SURV_DTE,DIP,AVG_ORIG_OIL_SAT,ORIG_OIL_H,RMNG_OIL_H,GAS_H,TOTAL_INJ,TOTAL_GNTL_INJ,Lin_Dist_Inj_Factor,SGMT_CUM_STM_INJ_1,FT_DIST_PAT_1,SGMT_CUM_STM_INJ_2,FT_DIST_PAT_2,SGMT_CUM_STM_INJ_3,FT_DIST_PAT_3,TOTAL_PROD,Lin_Dist_Prod_Factor,PCT_DESAT_TO_ORIG
435,TULS_D1,10/25/2012,0.05,0.7,21.06,0.0,21.06,124619044.97,3164720,0.26899999999999996,,,551231.0,372.0,942465.0,465.0,8904160,0.41063865200000005,1.0
435,TULS_D1,9/2/2016,0.05,0.7,21.06,0.0,21.06,179184468.05,4085829,0.302,,,963379.0,372.0,994686.0,465.0,18796208,0.380934875,1.0
435,TULS_D2,1/1/1990,0.06,0.7,14.58,14.58,0.0,0.0,0,0.218,0.0,,0.0,,0.0,465.0,0,0.41063865200000005,0.0
435,TULS_D2,10/25/2012,0.06,0.7,14.58,3.0,11.58,124619044.97,511013,0.218,,,,,232391.0,465.0,8904160,0.41063865200000005,0.79
435,TULS_D2,9/2/2016,0.06,0.7,14.58,0.0,14.58,179184468.05,880407,0.22899999999999998,,,,,416613.0,465.0,18796208,0.380934875,1.0
435,TULS_D3,10/25/2012,0.08,0.5,34.87,22.5,12.37,124619044.97,2732929,0.311,297002.0,130.0,303999.0,372.0,404119.0,465.0,8904160,0.41063865200000005,0.35
435,TULS_D3,9/2/2016,0.08,0.5,34.87,13.5,21.37,179184468.05,4592459,0.355,613515.0,130.0,696977.0,372.0,632866.0,465.0,18796208,0.380934875,0.61
435,TULS_E1,1/1/1990,0.07,0.19,5.5,5.5,0.0,0.0,0,0.275,0.0,130.0,0.0,372.0,0.0,465.0,0,0.41063865200000005,0.0
435,TULS_E1,10/25/2012,0.07,0.19,5.5,5.5,0.0,124619044.97,664495,0.275,39624.0,130.0,86907.0,372.0,187535.0,465.0,8904160,0.41063865200000005,0.0
435,TULS_E1,9/2/2016,0.07,0.19,5.5,5.5,0.0,179184468.05,1192252,0.307,39663.0,130.0,300859.0,372.0,253580.0,465.0,18796208,0.380934875,0.0
